POJO.Pokemon{id=1, name='Bulbasaur', total='318', hp='45', attack='49', defence='49', spAtk='65', spDef='65', speed='45', type='Grass Poison'}
POJO.Pokemon{id=2, name='Ivysaur', total='405', hp='60', attack='62', defence='63', spAtk='80', spDef='80', speed='60', type='Grass Poison'}
POJO.Pokemon{id=3, name='Venusaur', total='525', hp='80', attack='82', defence='83', spAtk='10', spDef=' 1', speed='0 80', type='Grass Poison'}
POJO.Pokemon{id=3, name='Venusaur', total='625', hp='80', attack='10', defence=' 1', spAtk='3 ', spDef='22', speed='120 80', type='Grass Poison'}
POJO.Pokemon{id=4, name='Charmander', total='309', hp='39', attack='52', defence='43', spAtk='60', spDef='50', speed='65', type='Fire'}
POJO.Pokemon{id=5, name='Charmeleon', total='405', hp='58', attack='64', defence='58', spAtk='80', spDef='65', speed='80', type='Fire'}
POJO.Pokemon{id=6, name='Charizard', total='534', hp='78', attack='84', defence='78', spAtk='10', spDef=' 8', speed=' 100', type='Fire Flying'}
POJO.Pokemon{id=6, name='Charizard', total='634', hp='78', attack='13', defence=' 1', spAtk='1 ', spDef='30', speed='85 100', type='Fire Dragon'}
POJO.Pokemon{id=6, name='Charizard', total='634', hp='78', attack='10', defence=' 7', spAtk=' 1', spDef='9 ', speed='15 100', type='Fire Flying'}
POJO.Pokemon{id=7, name='Squirtle', total='314', hp='44', attack='48', defence='65', spAtk='50', spDef='64', speed='43', type='Water'}
POJO.Pokemon{id=8, name='Wartortle', total='405', hp='59', attack='63', defence='80', spAtk='65', spDef='80', speed='58', type='Water'}
POJO.Pokemon{id=9, name='Blastoise', total='530', hp='79', attack='83', defence='10', spAtk=' 8', spDef=' 1', speed='5 78', type='Water'}
POJO.Pokemon{id=9, name='Blastoise', total='630', hp='79', attack='10', defence=' 1', spAtk='0 ', spDef='35', speed='115 78', type='Water'}
POJO.Pokemon{id=10, name='Caterpie', total='195', hp='45', attack='30', defence='35', spAtk='20', spDef='20', speed='45', type='Bug'}
POJO.Pokemon{id=11, name='Metapod', total='205', hp='50', attack='20', defence='55', spAtk='25', spDef='25', speed='30', type='Bug'}
POJO.Pokemon{id=12, name='Butterfree', total='395', hp='60', attack='45', defence='50', spAtk='90', spDef='80', speed='70', type='Bug Flying'}
POJO.Pokemon{id=13, name='Weedle', total='195', hp='40', attack='35', defence='30', spAtk='20', spDef='20', speed='50', type='Bug Poison'}
POJO.Pokemon{id=14, name='Kakuna', total='205', hp='45', attack='25', defence='50', spAtk='25', spDef='25', speed='35', type='Bug Poison'}
